municipio,uf,ano_mes,compra_venda,incorporacoes,loteamentos
SÃO PAULO,SP,2012-01,9968,0,0
SÃO PAULO,SP,2012-02,11253,0,0
SÃO PAULO,SP,2012-03,13182,0,0
SÃO PAULO,SP,2012-04,11423,0,0
SÃO PAULO,SP,2012-05,13233,0,0
SÃO PAULO,SP,2012-06,13292,0,0
SÃO PAULO,SP,2012-07,14469,0,0
SÃO PAULO,SP,2012-08,13211,0,0
SÃO PAULO,SP,2012-09,13420,0,0
SÃO PAULO,SP,2012-10,14724,0,0
SÃO PAULO,SP,2012-11,12989,0,0
SÃO PAULO,SP,2012-12,12876,0,0
SÃO PAULO,SP,2013-01,14989,0,0
SÃO PAULO,SP,2013-02,11657,0,0
SÃO PAULO,SP,2013-03,12353,0,0
SÃO PAULO,SP,2013-04,13912,0,0
SÃO PAULO,SP,2013-05,13646,0,0
SÃO PAULO,SP,2013-06,12616,0,0
SÃO PAULO,SP,2013-07,13380,0,0
SÃO PAULO,SP,2013-08,13299,0,0
SÃO PAULO,SP,2013-09,12704,0,0
SÃO PAULO,SP,2013-10,13420,0,0
SÃO PAULO,SP,2013-11,11377,0,0
SÃO PAULO,SP,2013-12,12321,0,0
SÃO PAULO,SP,2014-01,12848,0,0
SÃO PAULO,SP,2014-02,10900,0,0
SÃO PAULO,SP,2014-03,9505,0,0
SÃO PAULO,SP,2014-04,10938,0,0
SÃO PAULO,SP,2014-05,11839,0,0
SÃO PAULO,SP,2014-06,10192,0,0
SÃO PAULO,SP,2014-07,12125,0,0
SÃO PAULO,SP,2014-08,11655,0,0
SÃO PAULO,SP,2014-09,11992,0,0
SÃO PAULO,SP,2014-10,12181,0,0
SÃO PAULO,SP,2014-11,10265,0,0
SÃO PAULO,SP,2014-12,11702,0,0
SÃO PAULO,SP,2015-01,11374,0,0
SÃO PAULO,SP,2015-02,8928,0,0
SÃO PAULO,SP,2015-03,11130,0,0
SÃO PAULO,SP,2015-04,13339,0,0
SÃO PAULO,SP,2015-05,11345,0,0
SÃO PAULO,SP,2015-06,9845,0,0
SÃO PAULO,SP,2015-07,9290,0,0
SÃO PAULO,SP,2015-08,9062,0,0
SÃO PAULO,SP,2015-09,8500,0,0
SÃO PAULO,SP,2015-10,8612,0,0
SÃO PAULO,SP,2015-11,7318,0,0
SÃO PAULO,SP,2015-12,8365,0,0
SÃO PAULO,SP,2016-01,7822,0,0
SÃO PAULO,SP,2016-02,6962,0,0
SÃO PAULO,SP,2016-03,8031,0,0
SÃO PAULO,SP,2016-04,8073,0,0
SÃO PAULO,SP,2016-05,8097,0,0
SÃO PAULO,SP,2016-06,8251,0,0
SÃO PAULO,SP,2016-07,7949,0,0
SÃO PAULO,SP,2016-08,8768,0,0
SÃO PAULO,SP,2016-09,8709,0,0
SÃO PAULO,SP,2016-10,7298,0,0
SÃO PAULO,SP,2016-11,7706,0,0
SÃO PAULO,SP,2016-12,9982,0,0
SÃO PAULO,SP,2017-01,8422,0,0
SÃO PAULO,SP,2017-02,6551,0,0
SÃO PAULO,SP,2017-03,8666,0,0
SÃO PAULO,SP,2017-04,7136,0,0
SÃO PAULO,SP,2017-05,9370,0,0
SÃO PAULO,SP,2017-06,9080,0,0
SÃO PAULO,SP,2017-07,9339,0,0
SÃO PAULO,SP,2017-08,10114,0,0
SÃO PAULO,SP,2017-09,8588,0,0
SÃO PAULO,SP,2017-10,8937,0,0
SÃO PAULO,SP,2017-11,7778,0,0
SÃO PAULO,SP,2017-12,9167,0,0
SÃO PAULO,SP,2018-01,8739,0,0
SÃO PAULO,SP,2018-02,6807,0,0
SÃO PAULO,SP,2018-03,9087,0,0
SÃO PAULO,SP,2018-04,9743,0,0
SÃO PAULO,SP,2018-05,9765,0,0
SÃO PAULO,SP,2018-06,10247,0,0
SÃO PAULO,SP,2018-07,9721,0,0
SÃO PAULO,SP,2018-08,10714,0,0
SÃO PAULO,SP,2018-09,9873,0,0
SÃO PAULO,SP,2018-10,10837,0,0
SÃO PAULO,SP,2018-11,8882,0,0
SÃO PAULO,SP,2018-12,9865,0,0
SÃO PAULO,SP,2019-01,10345,0,0
SÃO PAULO,SP,2019-02,8621,0,0
SÃO PAULO,SP,2019-03,9206,0,0
SÃO PAULO,SP,2019-04,10404,0,0
SÃO PAULO,SP,2019-05,11282,0,0
SÃO PAULO,SP,2019-06,10152,0,0
SÃO PAULO,SP,2019-07,10735,0,0
SÃO PAULO,SP,2019-08,12710,0,0
SÃO PAULO,SP,2019-09,10529,0,0
SÃO PAULO,SP,2019-10,12516,0,0
SÃO PAULO,SP,2019-11,10834,0,0
SÃO PAULO,SP,2019-12,10774,0,0
SÃO PAULO,SP,2020-01,12586,0,0
SÃO PAULO,SP,2020-02,9412,0,0
SÃO PAULO,SP,2020-03,10207,0,0
SÃO PAULO,SP,2020-04,8017,0,0
SÃO PAULO,SP,2020-05,6875,0,0
SÃO PAULO,SP,2020-06,10336,0,0
SÃO PAULO,SP,2020-07,10774,0,0
SÃO PAULO,SP,2020-08,12181,0,0
SÃO PAULO,SP,2020-09,13147,0,0
SÃO PAULO,SP,2020-10,14990,0,0
SÃO PAULO,SP,2020-11,14045,0,0
SÃO PAULO,SP,2020-12,14764,0,0
SÃO PAULO,SP,2021-01,14280,0,0
SÃO PAULO,SP,2021-02,13930,0,0
SÃO PAULO,SP,2021-03,15076,0,0
SÃO PAULO,SP,2021-04,14388,0,0
SÃO PAULO,SP,2021-05,16460,0,0
SÃO PAULO,SP,2021-06,17398,0,0
SÃO PAULO,SP,2021-07,17160,0,0
SÃO PAULO,SP,2021-08,17058,0,0
SÃO PAULO,SP,2021-09,16808,0,0
SÃO PAULO,SP,2021-10,16846,0,0
SÃO PAULO,SP,2021-11,15764,0,0
SÃO PAULO,SP,2021-12,17469,0,0
SÃO PAULO,SP,2022-01,15386,0,0
SÃO PAULO,SP,2022-02,13648,0,0
SÃO PAULO,SP,2022-03,14552,0,0
SÃO PAULO,SP,2022-04,12717,0,0
SÃO PAULO,SP,2022-05,15219,0,0
SÃO PAULO,SP,2022-06,15403,0,0
SÃO PAULO,SP,2022-07,15133,0,0
SÃO PAULO,SP,2022-08,16356,0,0
SÃO PAULO,SP,2022-09,15820,0,0
SÃO PAULO,SP,2022-10,16233,0,0
SÃO PAULO,SP,2022-11,14927,0,0
SÃO PAULO,SP,2022-12,16043,0,0
SÃO PAULO,SP,2023-01,15150,0,0
SÃO PAULO,SP,2023-02,12283,0,0
SÃO PAULO,SP,2023-03,15408,0,0
SÃO PAULO,SP,2023-04,14158,0,0
SÃO PAULO,SP,2023-05,17291,0,0
SÃO PAULO,SP,2023-06,15351,0,0
SÃO PAULO,SP,2023-07,17297,0,0
SÃO PAULO,SP,2023-08,17149,0,0
SÃO PAULO,SP,2023-09,14477,0,0
RIO DE JANEIRO,RJ,2012-01,2308,0,0
RIO DE JANEIRO,RJ,2012-02,3190,0,0
RIO DE JANEIRO,RJ,2012-03,4667,0,0
RIO DE JANEIRO,RJ,2012-04,3836,0,0
RIO DE JANEIRO,RJ,2012-05,5476,0,0
RIO DE JANEIRO,RJ,2012-06,4677,0,0
RIO DE JANEIRO,RJ,2012-07,6054,0,0
RIO DE JANEIRO,RJ,2012-08,6610,0,0
RIO DE JANEIRO,RJ,2012-09,5279,0,0
RIO DE JANEIRO,RJ,2012-10,6198,0,0
RIO DE JANEIRO,RJ,2012-11,4825,0,0
RIO DE JANEIRO,RJ,2012-12,4968,0,0
RIO DE JANEIRO,RJ,2013-01,5349,0,0
RIO DE JANEIRO,RJ,2013-02,4023,0,0
RIO DE JANEIRO,RJ,2013-03,4529,0,0
RIO DE JANEIRO,RJ,2013-04,5548,0,0
RIO DE JANEIRO,RJ,2013-05,5239,0,0
RIO DE JANEIRO,RJ,2013-06,5199,0,0
RIO DE JANEIRO,RJ,2013-07,5223,0,0
RIO DE JANEIRO,RJ,2013-08,5788,0,0
RIO DE JANEIRO,RJ,2013-09,5515,0,0
RIO DE JANEIRO,RJ,2013-10,6039,0,0
RIO DE JANEIRO,RJ,2013-11,4804,0,0
RIO DE JANEIRO,RJ,2013-12,4817,0,0
RIO DE JANEIRO,RJ,2014-01,5219,0,0
RIO DE JANEIRO,RJ,2014-02,4638,0,0
RIO DE JANEIRO,RJ,2014-03,3944,0,0
RIO DE JANEIRO,RJ,2014-04,3671,0,0
RIO DE JANEIRO,RJ,2014-05,4650,0,0
RIO DE JANEIRO,RJ,2014-06,3700,0,0
RIO DE JANEIRO,RJ,2014-07,4802,0,0
RIO DE JANEIRO,RJ,2014-08,4644,0,0
RIO DE JANEIRO,RJ,2014-09,5025,0,0
RIO DE JANEIRO,RJ,2014-10,5063,0,0
RIO DE JANEIRO,RJ,2014-11,4165,0,0
RIO DE JANEIRO,RJ,2014-12,4419,0,0
RIO DE JANEIRO,RJ,2015-01,4464,0,0
RIO DE JANEIRO,RJ,2015-02,3783,0,0
RIO DE JANEIRO,RJ,2015-03,5258,0,0
RIO DE JANEIRO,RJ,2015-04,3902,0,0
RIO DE JANEIRO,RJ,2015-05,4201,0,0
RIO DE JANEIRO,RJ,2015-06,4153,0,0
RIO DE JANEIRO,RJ,2015-07,4667,0,0
RIO DE JANEIRO,RJ,2015-08,4266,0,0
RIO DE JANEIRO,RJ,2015-09,4014,0,0
RIO DE JANEIRO,RJ,2015-10,3962,0,0
RIO DE JANEIRO,RJ,2015-11,3613,0,0
RIO DE JANEIRO,RJ,2015-12,4392,0,0
RIO DE JANEIRO,RJ,2016-01,3823,0,0
RIO DE JANEIRO,RJ,2016-02,3023,0,0
RIO DE JANEIRO,RJ,2016-03,3817,0,0
RIO DE JANEIRO,RJ,2016-04,3610,0,0
RIO DE JANEIRO,RJ,2016-05,4044,0,0
RIO DE JANEIRO,RJ,2016-06,3824,0,0
RIO DE JANEIRO,RJ,2016-07,4423,0,0
RIO DE JANEIRO,RJ,2016-08,3841,0,0
RIO DE JANEIRO,RJ,2016-09,4204,0,0
RIO DE JANEIRO,RJ,2016-10,3030,0,0
RIO DE JANEIRO,RJ,2016-11,3405,0,0
RIO DE JANEIRO,RJ,2016-12,4291,0,0
RIO DE JANEIRO,RJ,2017-01,4376,0,0
RIO DE JANEIRO,RJ,2017-02,3389,0,0
RIO DE JANEIRO,RJ,2017-03,4090,0,0
RIO DE JANEIRO,RJ,2017-04,2943,0,0
RIO DE JANEIRO,RJ,2017-05,4300,0,0
RIO DE JANEIRO,RJ,2017-06,4600,0,0
RIO DE JANEIRO,RJ,2017-07,4222,0,0
RIO DE JANEIRO,RJ,2017-08,5314,0,0
RIO DE JANEIRO,RJ,2017-09,3831,0,0
RIO DE JANEIRO,RJ,2017-10,3635,0,0
RIO DE JANEIRO,RJ,2017-11,3931,0,0
RIO DE JANEIRO,RJ,2017-12,4233,0,0
RIO DE JANEIRO,RJ,2018-01,4499,0,0
RIO DE JANEIRO,RJ,2018-02,3614,0,0
RIO DE JANEIRO,RJ,2018-03,3820,0,0
RIO DE JANEIRO,RJ,2018-04,3698,0,0
RIO DE JANEIRO,RJ,2018-05,4230,0,0
RIO DE JANEIRO,RJ,2018-06,3912,0,0
RIO DE JANEIRO,RJ,2018-07,4600,0,0
RIO DE JANEIRO,RJ,2018-08,5177,0,0
RIO DE JANEIRO,RJ,2018-09,3943,0,0
RIO DE JANEIRO,RJ,2018-10,4199,0,0
RIO DE JANEIRO,RJ,2018-11,4247,0,0
RIO DE JANEIRO,RJ,2018-12,4164,0,0
RIO DE JANEIRO,RJ,2019-01,4357,0,0
RIO DE JANEIRO,RJ,2019-02,3512,0,0
RIO DE JANEIRO,RJ,2019-03,3133,0,0
RIO DE JANEIRO,RJ,2019-04,4263,0,0
RIO DE JANEIRO,RJ,2019-05,4091,0,0
RIO DE JANEIRO,RJ,2019-06,3014,0,0
RIO DE JANEIRO,RJ,2019-07,4318,0,0
RIO DE JANEIRO,RJ,2019-08,4394,0,0
RIO DE JANEIRO,RJ,2019-09,3525,0,0
RIO DE JANEIRO,RJ,2019-10,4819,0,0
RIO DE JANEIRO,RJ,2019-11,4167,0,0
RIO DE JANEIRO,RJ,2019-12,5026,0,0
RIO DE JANEIRO,RJ,2020-01,3698,0,0
RIO DE JANEIRO,RJ,2020-02,2896,0,0
RIO DE JANEIRO,RJ,2020-03,3855,0,0
RIO DE JANEIRO,RJ,2020-04,2589,0,0
RIO DE JANEIRO,RJ,2020-05,3219,0,0
RIO DE JANEIRO,RJ,2020-06,3013,0,0
RIO DE JANEIRO,RJ,2020-07,3819,0,0
RIO DE JANEIRO,RJ,2020-08,3965,0,0
RIO DE JANEIRO,RJ,2020-09,4296,0,0
RIO DE JANEIRO,RJ,2020-10,4420,0,0
RIO DE JANEIRO,RJ,2020-11,4223,0,0
RIO DE JANEIRO,RJ,2020-12,4526,0,0
RIO DE JANEIRO,RJ,2021-01,4149,0,0
RIO DE JANEIRO,RJ,2021-02,3361,0,0
RIO DE JANEIRO,RJ,2021-03,4852,0,0
RIO DE JANEIRO,RJ,2021-04,4796,0,0
RIO DE JANEIRO,RJ,2021-05,4943,0,0
RIO DE JANEIRO,RJ,2021-06,4747,0,0
RIO DE JANEIRO,RJ,2021-07,5174,0,0
RIO DE JANEIRO,RJ,2021-08,5411,0,0
RIO DE JANEIRO,RJ,2021-09,5062,0,0
RIO DE JANEIRO,RJ,2021-10,5038,0,0
RIO DE JANEIRO,RJ,2021-11,4732,0,0
RIO DE JANEIRO,RJ,2021-12,5430,0,0
RIO DE JANEIRO,RJ,2022-01,3916,0,0
RIO DE JANEIRO,RJ,2022-02,4130,0,0
RIO DE JANEIRO,RJ,2022-03,4071,0,0
RIO DE JANEIRO,RJ,2022-04,3405,0,0
RIO DE JANEIRO,RJ,2022-05,4981,0,0
RIO DE JANEIRO,RJ,2022-06,4347,0,0
RIO DE JANEIRO,RJ,2022-07,4506,0,0
RIO DE JANEIRO,RJ,2022-08,4131,0,0
RIO DE JANEIRO,RJ,2022-09,3991,0,0
RIO DE JANEIRO,RJ,2022-10,4589,0,0
RIO DE JANEIRO,RJ,2022-11,4113,0,0
RIO DE JANEIRO,RJ,2022-12,5035,0,0
RIO DE JANEIRO,RJ,2023-01,4149,0,0
RIO DE JANEIRO,RJ,2023-02,3347,0,0
RIO DE JANEIRO,RJ,2023-03,4886,0,0
RIO DE JANEIRO,RJ,2023-04,3967,0,0
RIO DE JANEIRO,RJ,2023-05,4976,0,0
RIO DE JANEIRO,RJ,2023-06,4703,0,0
RIO DE JANEIRO,RJ,2023-07,4276,0,0
RIO DE JANEIRO,RJ,2023-08,5188,0,0
RIO DE JANEIRO,RJ,2023-09,4393,0,0
CURITIBA,PR,2012-01,1862,0,0
CURITIBA,PR,2012-02,2091,0,0
CURITIBA,PR,2012-03,2763,0,0
CURITIBA,PR,2012-04,2570,0,0
CURITIBA,PR,2012-05,2706,0,0
CURITIBA,PR,2012-06,2909,0,0
CURITIBA,PR,2012-07,2623,0,0
CURITIBA,PR,2012-08,3319,0,0
CURITIBA,PR,2012-09,2614,0,0
CURITIBA,PR,2012-10,2993,0,0
CURITIBA,PR,2012-11,2608,0,0
CURITIBA,PR,2012-12,2549,0,0
CURITIBA,PR,2013-01,3782,0,0
CURITIBA,PR,2013-02,2651,0,0
CURITIBA,PR,2013-03,2649,0,0
CURITIBA,PR,2013-04,3313,0,0
CURITIBA,PR,2013-05,3021,0,0
CURITIBA,PR,2013-06,3308,0,0
CURITIBA,PR,2013-07,3775,0,0
CURITIBA,PR,2013-08,3365,0,0
CURITIBA,PR,2013-09,3495,0,0
CURITIBA,PR,2013-10,3662,0,0
CURITIBA,PR,2013-11,3464,0,0
CURITIBA,PR,2013-12,3519,0,0
CURITIBA,PR,2014-01,3242,0,0
CURITIBA,PR,2014-02,2685,0,0
CURITIBA,PR,2014-03,2768,0,0
CURITIBA,PR,2014-04,3154,0,0
CURITIBA,PR,2014-05,3028,0,0
CURITIBA,PR,2014-06,2990,0,0
CURITIBA,PR,2014-07,3305,0,0
CURITIBA,PR,2014-08,2751,0,0
CURITIBA,PR,2014-09,2966,0,0
CURITIBA,PR,2014-10,3217,0,0
CURITIBA,PR,2014-11,2603,0,0
CURITIBA,PR,2014-12,3016,0,0
CURITIBA,PR,2015-01,3570,0,0
CURITIBA,PR,2015-02,2599,0,0
CURITIBA,PR,2015-03,3196,0,0
CURITIBA,PR,2015-04,2474,0,0
CURITIBA,PR,2015-05,2597,0,0
CURITIBA,PR,2015-06,3111,0,0
CURITIBA,PR,2015-07,2897,0,0
CURITIBA,PR,2015-08,2743,0,0
CURITIBA,PR,2015-09,2577,0,0
CURITIBA,PR,2015-10,2543,0,0
CURITIBA,PR,2015-11,1895,0,0
CURITIBA,PR,2015-12,2509,0,0
CURITIBA,PR,2016-01,2166,0,0
CURITIBA,PR,2016-02,2030,0,0
CURITIBA,PR,2016-03,2452,0,0
CURITIBA,PR,2016-04,2522,0,0
CURITIBA,PR,2016-05,2292,0,0
CURITIBA,PR,2016-06,2456,0,0
CURITIBA,PR,2016-07,2248,0,0
CURITIBA,PR,2016-08,2706,0,0
CURITIBA,PR,2016-09,1922,0,0
CURITIBA,PR,2016-10,1936,0,0
CURITIBA,PR,2016-11,1933,0,0
CURITIBA,PR,2016-12,2175,0,0
CURITIBA,PR,2017-01,1863,0,0
CURITIBA,PR,2017-02,1441,0,0
CURITIBA,PR,2017-03,1963,0,0
CURITIBA,PR,2017-04,1784,0,0
CURITIBA,PR,2017-05,1871,0,0
CURITIBA,PR,2017-06,2301,0,0
CURITIBA,PR,2017-07,1835,0,0
CURITIBA,PR,2017-08,2154,0,0
CURITIBA,PR,2017-09,1819,0,0
CURITIBA,PR,2017-10,2067,0,0
CURITIBA,PR,2017-11,1758,0,0
CURITIBA,PR,2017-12,1906,0,0
CURITIBA,PR,2018-01,2077,0,0
CURITIBA,PR,2018-02,1726,0,0
CURITIBA,PR,2018-03,1989,0,0
CURITIBA,PR,2018-04,1911,0,0
CURITIBA,PR,2018-05,2208,0,0
CURITIBA,PR,2018-06,2157,0,0
CURITIBA,PR,2018-07,2293,0,0
CURITIBA,PR,2018-08,2389,0,0
CURITIBA,PR,2018-09,2379,0,0
CURITIBA,PR,2018-10,2651,0,0
CURITIBA,PR,2018-11,2360,0,0
CURITIBA,PR,2018-12,2345,0,0
CURITIBA,PR,2019-01,2600,0,0
CURITIBA,PR,2019-02,1949,0,0
CURITIBA,PR,2019-03,2060,0,0
CURITIBA,PR,2019-04,2084,0,0
CURITIBA,PR,2019-05,2632,0,0
CURITIBA,PR,2019-06,2318,0,0
CURITIBA,PR,2019-07,2237,0,0
CURITIBA,PR,2019-08,2450,0,0
CURITIBA,PR,2019-09,2151,0,0
CURITIBA,PR,2019-10,2517,0,0
CURITIBA,PR,2019-11,2400,0,0
CURITIBA,PR,2019-12,2425,0,0
CURITIBA,PR,2020-01,2626,0,0
CURITIBA,PR,2020-02,1703,0,0
CURITIBA,PR,2020-03,2312,0,0
CURITIBA,PR,2020-04,1695,0,0
CURITIBA,PR,2020-05,1734,0,0
CURITIBA,PR,2020-06,2240,0,0
CURITIBA,PR,2020-07,2208,0,0
CURITIBA,PR,2020-08,2218,0,0
CURITIBA,PR,2020-09,2681,0,0
CURITIBA,PR,2020-10,3026,0,0
CURITIBA,PR,2020-11,2360,0,0
CURITIBA,PR,2020-12,2577,0,0
CURITIBA,PR,2021-01,3071,0,0
CURITIBA,PR,2021-02,2869,0,0
CURITIBA,PR,2021-03,3027,0,0
CURITIBA,PR,2021-04,3260,0,0
CURITIBA,PR,2021-05,3232,0,0
CURITIBA,PR,2021-06,3520,0,0
CURITIBA,PR,2021-07,3486,0,0
CURITIBA,PR,2021-08,3555,0,0
CURITIBA,PR,2021-09,3321,0,0
CURITIBA,PR,2021-10,3566,0,0
CURITIBA,PR,2021-11,3005,0,0
CURITIBA,PR,2021-12,3354,0,0
CURITIBA,PR,2022-01,2758,0,0
CURITIBA,PR,2022-02,2528,0,0
CURITIBA,PR,2022-03,2891,0,0
CURITIBA,PR,2022-04,2636,0,0
CURITIBA,PR,2022-05,3140,0,0
CURITIBA,PR,2022-06,2730,0,0
CURITIBA,PR,2022-07,2900,0,0
CURITIBA,PR,2022-08,3063,0,0
CURITIBA,PR,2022-09,2721,0,0
CURITIBA,PR,2022-10,2669,0,0
CURITIBA,PR,2022-11,2669,0,0
CURITIBA,PR,2022-12,2744,0,0
CURITIBA,PR,2023-01,2828,0,0
CURITIBA,PR,2023-02,2287,0,0
CURITIBA,PR,2023-03,2870,0,0
CURITIBA,PR,2023-04,2773,0,0
CURITIBA,PR,2023-05,3189,0,0
CURITIBA,PR,2023-06,3222,0,0
CURITIBA,PR,2023-07,2965,0,0
CURITIBA,PR,2023-08,3119,0,0
CURITIBA,PR,2023-09,2815,0,0
FLORIANÓPOLIS,SC,2012-01,982,0,0
FLORIANÓPOLIS,SC,2012-02,1213,0,0
FLORIANÓPOLIS,SC,2012-03,1214,0,0
FLORIANÓPOLIS,SC,2012-04,1097,0,0
FLORIANÓPOLIS,SC,2012-05,1041,0,0
FLORIANÓPOLIS,SC,2012-06,1144,0,0
FLORIANÓPOLIS,SC,2012-07,1084,0,0
FLORIANÓPOLIS,SC,2012-08,1406,0,0
FLORIANÓPOLIS,SC,2012-09,1254,0,0
FLORIANÓPOLIS,SC,2012-10,1519,0,0
FLORIANÓPOLIS,SC,2012-11,1378,0,0
FLORIANÓPOLIS,SC,2012-12,1169,0,0
FLORIANÓPOLIS,SC,2013-01,1172,0,0
FLORIANÓPOLIS,SC,2013-02,1166,0,0
FLORIANÓPOLIS,SC,2013-03,1098,0,0
FLORIANÓPOLIS,SC,2013-04,1279,0,0
FLORIANÓPOLIS,SC,2013-05,1522,0,0
FLORIANÓPOLIS,SC,2013-06,1219,0,0
FLORIANÓPOLIS,SC,2013-07,1473,0,0
FLORIANÓPOLIS,SC,2013-08,1392,0,0
FLORIANÓPOLIS,SC,2013-09,1008,0,0
FLORIANÓPOLIS,SC,2013-10,1317,0,0
FLORIANÓPOLIS,SC,2013-11,1048,0,0
FLORIANÓPOLIS,SC,2013-12,1047,0,0
FLORIANÓPOLIS,SC,2014-01,1412,0,0
FLORIANÓPOLIS,SC,2014-02,1341,0,0
FLORIANÓPOLIS,SC,2014-03,1248,0,0
FLORIANÓPOLIS,SC,2014-04,1230,0,0
FLORIANÓPOLIS,SC,2014-05,1545,0,0
FLORIANÓPOLIS,SC,2014-06,1296,0,0
FLORIANÓPOLIS,SC,2014-07,1708,0,0
FLORIANÓPOLIS,SC,2014-08,1281,0,0
FLORIANÓPOLIS,SC,2014-09,1382,0,0
FLORIANÓPOLIS,SC,2014-10,1299,0,0
FLORIANÓPOLIS,SC,2014-11,1142,0,0
FLORIANÓPOLIS,SC,2014-12,1427,0,0
FLORIANÓPOLIS,SC,2015-01,1312,0,0
FLORIANÓPOLIS,SC,2015-02,1015,0,0
FLORIANÓPOLIS,SC,2015-03,1104,0,0
FLORIANÓPOLIS,SC,2015-04,1095,0,0
FLORIANÓPOLIS,SC,2015-05,1099,0,0
FLORIANÓPOLIS,SC,2015-06,948,0,0
FLORIANÓPOLIS,SC,2015-07,1404,0,0
FLORIANÓPOLIS,SC,2015-08,1013,0,0
FLORIANÓPOLIS,SC,2015-09,944,0,0
FLORIANÓPOLIS,SC,2015-10,1162,0,0
FLORIANÓPOLIS,SC,2015-11,914,0,0
FLORIANÓPOLIS,SC,2015-12,954,0,0
FLORIANÓPOLIS,SC,2016-01,1166,0,0
FLORIANÓPOLIS,SC,2016-02,863,0,0
FLORIANÓPOLIS,SC,2016-03,943,0,0
FLORIANÓPOLIS,SC,2016-04,963,0,0
FLORIANÓPOLIS,SC,2016-05,991,0,0
FLORIANÓPOLIS,SC,2016-06,1090,0,0
FLORIANÓPOLIS,SC,2016-07,999,0,0
FLORIANÓPOLIS,SC,2016-08,1052,0,0
FLORIANÓPOLIS,SC,2016-09,916,0,0
FLORIANÓPOLIS,SC,2016-10,775,0,0
FLORIANÓPOLIS,SC,2016-11,966,0,0
FLORIANÓPOLIS,SC,2016-12,963,0,0
FLORIANÓPOLIS,SC,2017-01,826,0,0
FLORIANÓPOLIS,SC,2017-02,569,0,0
FLORIANÓPOLIS,SC,2017-03,898,0,0
FLORIANÓPOLIS,SC,2017-04,680,0,0
FLORIANÓPOLIS,SC,2017-05,1132,0,0
FLORIANÓPOLIS,SC,2017-06,787,0,0
FLORIANÓPOLIS,SC,2017-07,1048,0,0
FLORIANÓPOLIS,SC,2017-08,1229,0,0
FLORIANÓPOLIS,SC,2017-09,1110,0,0
